Season,GROUP_NAME,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED,Category,POSS,OFF_RATING,DEF_RATING,NET_RATING,PACE,PTS_per100,AST_per100,REB_per100,STL_per100,BLK_per100,TOV_per100,OREB_per100,DREB_per100,FGM_per100,FGA_per100,FG3M_per100,FG3A_per100,EFG_PCT,TM_TOV_PCT,OREB_PCT,FTA_RATE,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,PCT_AST_FGM,Lineup_BPM_OOF,Lineup_BPM_Final,Lineup_BPM_Final_Demeaned,Lineup_BPM_OOF_Demeaned
2024-25,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,18,10,8,0.556,334.615,269,599,0.449,68,213,0.319,134,164,0.817,69,207,276,145,90.0,50,36,50,139,148,740,-31.0,3,7,1208,483,1,2,1,539,3,2,477,1,1,350,1,3,1,3,1210,2,2,1210,1210,1,2,1209,1003845,Traditional,681,108.7,114.9,-6.2,96.97,108.66372980910425,21.292217327459618,40.52863436123348,7.342143906020558,5.286343612334802,13.215859030837004,10.13215859030837,30.396475770925107,39.500734214390604,87.95888399412628,9.985315712187958,31.277533039647576,0.506,0.132,0.279,0.274,94.0,103.0,87.0,334.0,0.644,0.356,0.543,0.276,0.181,0.539,2.6092062190200473,-5.534573779022165,-9.688297002193057,-2.544993673380412
2024-25,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,23,15,8,0.652,332.775,293,593,0.494,103,245,0.42,129,159,0.811,50,223,273,208,77.0,54,48,37,136,142,818,89.0,1,1,1208,448,2,1,2,484,1,1,315,2,2,353,3,1,2,1,1209,1,1,1208,1209,2,1,1,998325,Traditional,680,120.3,106.9,13.4,98.23,120.29411764705881,30.58823529411765,40.14705882352941,7.941176470588235,7.0588235294117645,11.323529411764707,7.352941176470589,32.794117647058826,43.08823529411765,87.20588235294117,15.147058823529411,36.029411764705884,0.581,0.113,0.232,0.268,122.0,70.0,118.0,274.0,0.587,0.413,0.465,0.378,0.158,0.71,8.650901270786033,12.136415887828615,7.982692664657724,3.4967013783855734
2024-25,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,14,7,7,0.5,282.175,252,512,0.492,77,205,0.376,97,123,0.789,63,209,272,149,74.0,43,21,42,96,120,678,74.0,9,16,1205,489,3,3,3,486,2,3,357,3,3,373,2,2,3,2,1208,3,4,1209,1208,3,3,2,846525,Traditional,568,119.4,108.1,11.3,95.86,119.36619718309859,26.23239436619718,47.88732394366197,7.570422535211267,3.697183098591549,13.028169014084506,11.091549295774648,36.79577464788733,44.36619718309859,90.14084507042254,13.556338028169016,36.09154929577465,0.567,0.13,0.319,0.24,71.0,95.0,82.0,292.0,0.6,0.4,0.516,0.341,0.143,0.591,6.988704769308445,14.975097923841599,10.821374700670706,1.8345048769079852
2024-25,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,OKC,20,15,5,0.75,197.775,182,386,0.472,30,120,0.25,59,68,0.868,50,146,196,100,39.0,25,36,22,74,73,453,9.0,2,1,1191,378,4,4,4,505,5,5,503,5,6,319,3,4,4,4,1206,5,2,1207,1207,4,4,62,593325,Traditional,404,112.1,107.2,4.9,99.26,112.12871287128714,24.752475247524753,48.51485148514851,6.188118811881188,8.91089108910891,9.653465346534654,12.376237623762377,36.13861386138614,45.04950495049505,95.54455445544554,7.425742574257425,29.7029702970297,0.51,0.097,0.28,0.176,57.0,58.0,43.0,256.0,0.689,0.311,0.671,0.199,0.13,0.549,3.5866882214809026,4.560745423521219,0.407022200350327,-1.567511670919557
2024-25,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,15,9,6,0.6,185.93,153,336,0.455,56,149,0.376,57,73,0.781,50,137,187,87,51.0,24,15,11,58,69,419,66.0,8,8,1201,463,5,5,5,526,4,4,356,6,5,380,3,5,5,5,1207,6,5,1200,1206,5,5,3,557790,Traditional,359,116.7,99.7,17.0,92.03,116.71309192200556,24.233983286908078,52.089136490250695,6.685236768802229,4.178272980501393,14.206128133704734,13.92757660167131,38.16155988857939,42.618384401114206,93.59331476323119,15.598885793871867,41.5041782729805,0.539,0.142,0.358,0.217,61.0,66.0,55.0,178.0,0.557,0.443,0.463,0.401,0.136,0.569,6.492588928522999,14.278117583411941,10.124394360241048,1.33838903612254
2024-25,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,LAC,6,3,3,0.5,110.251667,91,185,0.492,23,65,0.354,25,34,0.735,24,62,86,56,25.0,17,12,8,41,33,230,-18.0,54,79,1099,489,6,7,6,487,11,8,379,14,13,428,8,10,10,6,1202,8,8,1196,1203,12,9,1198,330755,Traditional,207,111.1,122.2,-11.1,89.25,111.11111111111111,27.053140096618357,41.54589371980676,8.212560386473431,5.797101449275362,12.077294685990339,11.594202898550725,29.951690821256037,43.96135265700483,89.3719806763285,11.11111111111111,31.40096618357488,0.554,0.121,0.267,0.184,27.0,27.0,40.0,118.0,0.649,0.351,0.591,0.3,0.109,0.615,4.719355790369272,-2.048445617963206,-6.202168841134098,-0.43484410203118706
2024-25,F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,HOU,7,3,4,0.429,105.05,93,185,0.503,24,61,0.393,36,46,0.783,22,81,103,54,23.0,10,11,11,41,39,246,20.0,44,79,1156,641,7,6,6,327,9,11,352,9,9,379,10,6,7,7,1197,12,10,1200,1203,8,6,12,315150,Traditional,204,120.6,110.2,10.3,93.44,120.58823529411764,26.47058823529412,50.49019607843137,4.901960784313726,5.392156862745098,11.27450980392157,10.784313725490197,39.705882352941174,45.588235294117645,90.68627450980392,11.76470588235294,29.901960784313726,0.568,0.113,0.305,0.249,36.0,32.0,31.0,124.0,0.67,0.33,0.561,0.293,0.146,0.581,6.8258343961718575,14.35118390494235,10.197460681771457,1.671634503771398
2024-25,R. Westbrook - A. Gordon - N. Jokić - J. Murray - C. Braun,DEN,13,6,7,0.462,101.395,85,179,0.475,28,73,0.384,48,64,0.75,25,79,104,46,25.0,13,9,20,39,50,246,11.0,13,26,1205,637,8,8,8,499,6,6,354,7,7,388,7,7,6,9,1202,10,14,1206,1202,7,6,44,304185,Traditional,216,113.9,112.4,1.4,100.6,113.88888888888889,21.296296296296298,48.148148148148145,6.018518518518518,4.166666666666666,11.574074074074074,11.574074074074074,36.574074074074076,39.351851851851855,82.87037037037037,12.962962962962962,33.7962962962963,0.553,0.116,0.363,0.358,30.0,31.0,37.0,100.0,0.592,0.408,0.463,0.341,0.195,0.541,6.356948146430849,12.623784805147853,8.47006158197696,1.2027482540303893
2024-25,A. Caruso - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,OKC,18,14,4,0.778,100.291667,74,173,0.428,22,61,0.361,67,90,0.744,19,43,62,32,24.0,34,11,15,42,60,237,-2.0,3,3,1156,377,9,9,10,584,12,11,377,4,4,426,13,15,15,17,1201,4,10,1205,1205,6,8,762,300875,Traditional,224,105.8,113.3,-7.5,104.1,105.80357142857142,14.285714285714285,27.67857142857143,15.178571428571427,4.910714285714286,10.714285714285714,8.482142857142858,19.196428571428573,33.035714285714285,77.23214285714286,9.821428571428571,27.232142857142854,0.491,0.107,0.264,0.52,56.0,25.0,27.0,86.0,0.647,0.353,0.439,0.278,0.283,0.432,2.9289813919321808,-4.091763186108984,-8.245486409279875,-2.2252185004682787
2024-25,C. Joseph - K. Caldwell-Pope - W. Carter Jr. - F. Wagner - P. Banchero,ORL,5,1,4,0.2,96.65,71,179,0.397,16,63,0.254,28,40,0.7,23,67,90,40,23.0,19,7,13,37,34,186,-2.0,76,266,1156,719,10,10,8,644,19,10,502,12,11,440,9,9,9,11,1197,7,17,1203,1201,11,11,762,289950,Traditional,188,98.9,101.6,-2.7,92.62,98.93617021276596,21.27659574468085,47.87234042553192,10.106382978723403,3.723404255319149,12.23404255319149,12.23404255319149,35.638297872340424,37.765957446808514,95.2127659574468,8.51063829787234,33.51063829787234,0.441,0.122,0.295,0.223,34.0,32.0,34.0,78.0,0.648,0.352,0.591,0.258,0.151,0.563,0.9262347724374971,-0.35868430639597815,-4.51240752956687,-4.227965119962962
