Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,112.8,,54.1%,,13.8%,,25.1%,,19.1,,112.8,,54.1%,,13.8%,,25.1%,,19.1
PHX,Chris Paul,Devin Booker,Mikal Bridges,Jae Crowder,Deandre Ayton,1433,55,+5.5,66,118.8,68,58.1%,74,11.9%,25,20.7%,48,17.3,42,113.3,37,55.6%,67,14.6%,44,24.6%,38,18.2
PHI,Ben Simmons,Seth Curry,Danny Green,Tobias Harris,Joel Embiid,1349,82,+16.0,72,120.1,68,58.1%,58,13.0%,27,21.0%,91,25.8,81,104.1,76,50.8%,61,14.0%,51,23.8%,58,15.3
NOP,Eric Bledsoe,Lonzo Ball,Brandon Ingram,Zion Williamson,Steven Adams,1260,46,+2.8,61,117.5,62,57.2%,53,13.6%,75,29.5%,31,15.7,38,114.7,32,56.5%,35,12.2%,49,24.0%,87,11.1
UTA,Mike Conley,Donovan Mitchell,Royce O'Neale,Bojan Bogdanovic,Rudy Gobert,1214,75,+11.4,54,115.7,52,55.9%,55,13.4%,64,27.0%,68,20.0,78,104.4,90,48.3%,17,10.5%,36,25.8%,87,11.1
MIL,Jrue Holiday,Donte DiVincenzo,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,1141,72,+10.3,65,118.5,79,59.8%,57,13.3%,38,23.0%,34,16.0,63,108.2,31,56.5%,48,13.0%,83,19.0%,91,10.6
NYK,Elfrid Payton,Reggie Bullock,RJ Barrett,Julius Randle,Nerlens Noel,1111,32,-4.4,36,109.8,43,54.4%,51,13.7%,44,23.8%,38,16.4,40,114.2,41,54.9%,55,13.7%,30,26.5%,40,17.8
MEM,Ja Morant,Grayson Allen,Dillon Brooks,Kyle Anderson,Jonas Valanciunas,985,67,+8.2,59,117.0,47,55.0%,77,11.7%,62,26.6%,61,18.8,61,108.7,64,52.2%,34,12.2%,72,20.9%,39,18.0
SAC,De'Aaron Fox,Buddy Hield,Harrison Barnes,Marvin Bagley,Richaun Holmes,886,64,+7.7,77,122.2,77,59.6%,79,11.5%,58,25.8%,29,15.5,39,114.5,30,56.6%,44,12.7%,59,22.4%,59,15.3
SAC,De'Aaron Fox,Tyrese Haliburton,Buddy Hield,Harrison Barnes,Richaun Holmes,864,59,+6.6,74,121.3,70,58.6%,77,11.7%,45,23.9%,81,23.3,37,114.7,44,54.6%,40,12.5%,22,27.9%,29,19.8
