team,year,reg_games,reg_wins,reg_losses,reg_win_pct,playoff_games,playoff_wins,playoff_losses,total_games,pts_per_game,opp_pts_per_game,net_rating,srs
ATL,2021,72,41,31,0.569,0,0,0,72,113.7,111.4,2.299999999999997,2.14
BOS,2021,72,36,36,0.5,0,0,0,72,112.6,111.2,1.3999999999999915,1.32
BRK,2021,72,48,24,0.667,0,0,0,72,118.6,114.1,4.5,4.24
CHI,2021,72,31,41,0.431,0,0,0,72,110.7,111.6,-0.8999999999999915,-0.94
CHO,2021,72,33,39,0.458,0,0,0,72,109.5,111.4,-1.9000000000000057,-1.94
CLE,2021,72,22,50,0.306,0,0,0,72,103.8,112.3,-8.5,-8.19
DAL,2021,72,42,30,0.583,0,0,0,72,112.4,110.2,2.200000000000003,2.26
DEN,2021,72,47,25,0.653,0,0,0,72,115.1,110.1,5.0,4.82
DET,2021,72,20,52,0.278,0,0,0,72,106.6,111.1,-4.5,-4.38
GSW,2021,72,39,33,0.542,0,0,0,72,113.7,112.7,1.0,1.1
HOU,2021,72,17,55,0.236,0,0,0,72,108.8,116.7,-7.900000000000006,-7.5
IND,2021,72,34,38,0.472,0,0,0,72,115.3,115.3,0.0,-0.13
LAC,2021,72,47,25,0.653,0,0,0,72,114.0,107.8,6.200000000000003,6.02
LAL,2021,72,42,30,0.583,0,0,0,72,109.5,106.8,2.700000000000003,2.77
MEM,2021,72,38,34,0.528,0,0,0,72,113.3,112.3,1.0,1.07
MIA,2021,72,40,32,0.556,0,0,0,72,108.1,108.0,0.09999999999999432,-0.06
MIL,2021,72,46,26,0.639,0,0,0,72,120.1,114.2,5.8999999999999915,5.57
MIN,2021,72,23,49,0.319,0,0,0,72,112.1,117.7,-5.6000000000000085,-5.25
NOP,2021,72,31,41,0.431,0,0,0,72,114.6,114.9,-0.30000000000001137,-0.2
NYK,2021,72,41,31,0.569,0,0,0,72,107.0,104.7,2.299999999999997,2.13
OKC,2021,72,22,50,0.306,0,0,0,72,105.0,115.6,-10.599999999999994,-10.13
ORL,2021,72,21,51,0.292,0,0,0,72,104.0,113.3,-9.299999999999997,-9.02
PHI,2021,72,49,23,0.681,0,0,0,72,113.6,108.1,5.5,5.28
PHO,2021,72,51,21,0.708,0,0,0,72,115.3,109.5,5.799999999999997,5.67
POR,2021,72,42,30,0.583,0,0,0,72,116.1,114.3,1.7999999999999972,1.81
SAC,2021,72,31,41,0.431,0,0,0,72,113.7,117.4,-3.700000000000003,-3.45
SAS,2021,72,33,39,0.458,0,0,0,72,111.1,112.8,-1.7000000000000028,-1.58
TOR,2021,72,27,45,0.375,0,0,0,72,111.3,111.7,-0.4000000000000057,-0.54
UTA,2021,72,52,20,0.722,0,0,0,72,116.4,107.2,9.200000000000003,8.97
WAS,2021,72,34,38,0.472,0,0,0,72,116.6,118.5,-1.9000000000000057,-1.85
ATL,2022,82,43,39,0.524,0,0,0,82,113.9,112.4,1.5,1.55
BOS,2022,82,51,31,0.622,0,0,0,82,111.8,104.5,7.299999999999997,7.02
BRK,2022,82,44,38,0.537,0,0,0,82,112.9,112.1,0.8000000000000114,0.82
CHI,2022,82,46,36,0.561,0,0,0,82,111.6,112.0,-0.4000000000000057,-0.38
CHO,2022,82,43,39,0.524,0,0,0,82,115.3,114.9,0.3999999999999915,0.53
CLE,2022,82,44,38,0.537,0,0,0,82,107.8,105.7,2.0999999999999943,2.04
DAL,2022,82,52,30,0.634,0,0,0,82,108.0,104.7,3.299999999999997,3.12
DEN,2022,82,48,34,0.585,0,0,0,82,112.7,110.4,2.299999999999997,2.16
DET,2022,82,23,59,0.28,0,0,0,82,104.8,112.5,-7.700000000000003,-7.36
GSW,2022,82,53,29,0.646,0,0,0,82,111.0,105.5,5.5,5.52
HOU,2022,82,20,62,0.244,0,0,0,82,109.7,118.2,-8.5,-8.26
IND,2022,82,25,57,0.305,0,0,0,82,111.5,114.9,-3.4000000000000057,-3.26
LAC,2022,82,42,40,0.512,0,0,0,82,108.4,108.4,0.0,0.09
LAL,2022,82,33,49,0.402,0,0,0,82,112.1,115.1,-3.0,-3.08
MEM,2022,82,56,26,0.683,0,0,0,82,115.6,109.9,5.699999999999989,5.37
MIA,2022,82,53,29,0.646,0,0,0,82,110.0,105.6,4.400000000000006,4.23
MIL,2022,82,51,31,0.622,0,0,0,82,115.5,112.1,3.4000000000000057,3.22
MIN,2022,82,46,36,0.561,0,0,0,82,115.9,113.3,2.6000000000000085,2.53
NOP,2022,82,36,46,0.439,0,0,0,82,109.3,110.3,-1.0,-0.84
NYK,2022,82,37,45,0.451,0,0,0,82,106.5,106.6,-0.09999999999999432,-0.01
OKC,2022,82,24,58,0.293,0,0,0,82,103.7,111.8,-8.099999999999994,-7.9
ORL,2022,82,22,60,0.268,0,0,0,82,104.2,112.2,-8.0,-7.67
PHI,2022,82,51,31,0.622,0,0,0,82,109.9,107.3,2.6000000000000085,2.57
PHO,2022,82,64,18,0.78,0,0,0,82,114.8,107.3,7.5,6.94
POR,2022,82,27,55,0.329,0,0,0,82,106.2,115.1,-8.899999999999991,-8.55
SAC,2022,82,30,52,0.366,0,0,0,82,110.3,115.8,-5.5,-5.26
SAS,2022,82,34,48,0.415,0,0,0,82,113.2,113.0,0.20000000000000284,0.02
TOR,2022,82,48,34,0.585,0,0,0,82,109.4,107.1,2.3000000000000114,2.38
UTA,2022,82,49,33,0.598,0,0,0,82,113.6,107.6,6.0,5.67
WAS,2022,82,35,47,0.427,0,0,0,82,108.6,112.0,-3.4000000000000057,-3.23
