season,team,pr_out_before_r1,pr_r1,pr_r2,pr_r3,pr_r4
2024-2025,BOS,0.0376,0.9624,0.7296,0.5056,0.1036
2024-2025,IND,0.1066,0.8934,0.5672,0.2376,0.0268
2024-2025,MIL,0.2506,0.7494,0.3474,0.1302,0.0096
2024-2025,CLE,0.4558,0.5442,0.1468,0.065,0.0064
2024-2025,NYK,0.5442,0.4558,0.118,0.0484,0.004
2024-2025,ORL,0.7494,0.2506,0.0658,0.0108,0.0002
2024-2025,ATL,0.9056,0.0944,0.0192,0.0024,0.0
2024-2025,DET,0.9602,0.0398,0.0054,0.0,0.0
2024-2025,TOR,0.9952,0.0048,0.0004,0.0,0.0
2024-2025,PHI,0.9948,0.0052,0.0002,0.0,0.0
2024-2025,CHA,1.0,0.0,0.0,0.0,0.0
2024-2025,CHI,1.0,0.0,0.0,0.0,0.0
2024-2025,MIA,1.0,0.0,0.0,0.0,0.0
2024-2025,BKN,1.0,0.0,0.0,0.0,0.0
2024-2025,WAS,1.0,0.0,0.0,0.0,0.0
2024-2025,OKC,0.0188,0.9812,0.87,0.707,0.6462
2024-2025,GSW,0.1122,0.8878,0.5734,0.1674,0.1244
2024-2025,DEN,0.2718,0.7282,0.3326,0.0692,0.0466
2024-2025,DAL,0.3726,0.6274,0.0946,0.0382,0.0248
2024-2025,LAC,0.6274,0.3726,0.0322,0.0106,0.0044
2024-2025,MEM,0.7282,0.2718,0.0702,0.0056,0.002
2024-2025,MIN,0.9158,0.0842,0.0212,0.0018,0.001
2024-2025,HOU,0.958,0.042,0.0054,0.0002,0.0
2024-2025,LAL,0.996,0.004,0.0002,0.0,0.0
2024-2025,SAC,0.9992,0.0008,0.0002,0.0,0.0
2024-2025,UTA,1.0,0.0,0.0,0.0,0.0
2024-2025,PHX,1.0,0.0,0.0,0.0,0.0
2024-2025,SAS,1.0,0.0,0.0,0.0,0.0
2024-2025,NOP,1.0,0.0,0.0,0.0,0.0
2024-2025,POR,1.0,0.0,0.0,0.0,0.0
