season,team,pr_out_before_r1,pr_r1,pr_r2,pr_r3,pr_r4
2020-2021,ATL,0.0106,0.9894,0.7748,0.4772,0.223
2020-2021,MIL,0.0208,0.9792,0.6422,0.317,0.1192
2020-2021,PHI,0.0982,0.9018,0.3488,0.1346,0.0402
2020-2021,TOR,0.4468,0.5532,0.1306,0.0432,0.013
2020-2021,MIA,0.5532,0.4468,0.0942,0.0276,0.007
2020-2021,NYK,0.9018,0.0982,0.0082,0.0004,0.0
2020-2021,BOS,0.9832,0.0168,0.0008,0.0,0.0
2020-2021,BKN,0.9872,0.0128,0.0004,0.0,0.0
2020-2021,IND,0.9994,0.0006,0.0,0.0,0.0
2020-2021,DET,0.9988,0.0012,0.0,0.0,0.0
2020-2021,CHA,1.0,0.0,0.0,0.0,0.0
2020-2021,CLE,1.0,0.0,0.0,0.0,0.0
2020-2021,WAS,1.0,0.0,0.0,0.0,0.0
2020-2021,ORL,1.0,0.0,0.0,0.0,0.0
2020-2021,CHI,1.0,0.0,0.0,0.0,0.0
2020-2021,LAC,0.055,0.945,0.813,0.5522,0.3708
2020-2021,UTA,0.1276,0.8724,0.6668,0.314,0.185
2020-2021,DAL,0.3786,0.6214,0.1978,0.0558,0.0208
2020-2021,PHX,0.4694,0.5306,0.0972,0.0292,0.0092
2020-2021,DEN,0.5306,0.4694,0.073,0.0228,0.0056
2020-2021,POR,0.6214,0.3786,0.0922,0.0148,0.0034
2020-2021,MEM,0.872,0.128,0.05,0.01,0.0028
2020-2021,NOP,0.9598,0.0402,0.0072,0.0006,0.0
2020-2021,LAL,0.992,0.008,0.0012,0.0002,0.0
2020-2021,SAC,0.9936,0.0064,0.0016,0.0004,0.0
2020-2021,MIN,1.0,0.0,0.0,0.0,0.0
2020-2021,GSW,1.0,0.0,0.0,0.0,0.0
2020-2021,SAS,1.0,0.0,0.0,0.0,0.0
2020-2021,HOU,1.0,0.0,0.0,0.0,0.0
2020-2021,OKC,1.0,0.0,0.0,0.0,0.0
2021-2022,BOS,0.0476,0.9524,0.8564,0.7558,0.6572
2021-2022,MIA,0.2642,0.7358,0.4774,0.1058,0.0622
2021-2022,CLE,0.3736,0.6264,0.2914,0.0526,0.0234
2021-2022,ATL,0.5088,0.4912,0.0604,0.0256,0.012
2021-2022,MIL,0.4912,0.5088,0.0676,0.0298,0.0154
2021-2022,PHI,0.6264,0.3736,0.1324,0.016,0.0054
2021-2022,BKN,0.8402,0.1598,0.0618,0.008,0.003
2021-2022,TOR,0.8508,0.1492,0.0524,0.0064,0.0018
2021-2022,CHI,0.999,0.001,0.0002,0.0,0.0
2021-2022,CHA,0.9982,0.0018,0.0,0.0,0.0
2021-2022,NYK,1.0,0.0,0.0,0.0,0.0
2021-2022,IND,1.0,0.0,0.0,0.0,0.0
2021-2022,ORL,1.0,0.0,0.0,0.0,0.0
2021-2022,WAS,1.0,0.0,0.0,0.0,0.0
2021-2022,DET,1.0,0.0,0.0,0.0,0.0
2021-2022,UTA,0.1116,0.8884,0.6306,0.3932,0.1072
2021-2022,PHX,0.211,0.789,0.46,0.2342,0.0494
2021-2022,DEN,0.3102,0.6898,0.3674,0.1836,0.0378
2021-2022,NOP,0.4624,0.5376,0.187,0.073,0.011
2021-2022,MEM,0.5376,0.4624,0.1508,0.0584,0.006
2021-2022,MIN,0.6898,0.3102,0.1138,0.0348,0.0052
2021-2022,GSW,0.7948,0.2052,0.0684,0.0202,0.0026
2021-2022,POR,0.9048,0.0952,0.0188,0.0022,0.0004
2021-2022,DAL,0.9816,0.0184,0.0028,0.0002,0.0
2021-2022,LAL,0.9962,0.0038,0.0004,0.0002,0.0
2021-2022,SAS,1.0,0.0,0.0,0.0,0.0
2021-2022,LAC,1.0,0.0,0.0,0.0,0.0
2021-2022,HOU,1.0,0.0,0.0,0.0,0.0
2021-2022,SAC,1.0,0.0,0.0,0.0,0.0
2021-2022,OKC,1.0,0.0,0.0,0.0,0.0
2022-2023,MIL,0.0692,0.9308,0.7546,0.6006,0.2934
2022-2023,PHI,0.26,0.74,0.4162,0.1296,0.0318
2022-2023,BOS,0.3062,0.6938,0.3866,0.1214,0.0274
2022-2023,MIA,0.437,0.563,0.1324,0.0672,0.0174
2022-2023,CLE,0.563,0.437,0.0946,0.043,0.009
2022-2023,BKN,0.6938,0.3062,0.1186,0.0218,0.0026
2022-2023,WAS,0.8156,0.1844,0.0632,0.012,0.0014
2022-2023,TOR,0.8708,0.1292,0.0314,0.0038,0.0002
2022-2023,ATL,0.9918,0.0082,0.0014,0.0002,0.0
2022-2023,CHI,0.9926,0.0074,0.001,0.0004,0.0
2022-2023,NYK,1.0,0.0,0.0,0.0,0.0
2022-2023,ORL,1.0,0.0,0.0,0.0,0.0
2022-2023,IND,1.0,0.0,0.0,0.0,0.0
2022-2023,CHA,1.0,0.0,0.0,0.0,0.0
2022-2023,DET,1.0,0.0,0.0,0.0,0.0
2022-2023,DEN,0.0234,0.9766,0.8696,0.6362,0.4424
2022-2023,GSW,0.077,0.923,0.5908,0.2176,0.1144
2022-2023,MEM,0.1402,0.8598,0.3764,0.1066,0.0478
2022-2023,MIN,0.3092,0.6908,0.103,0.0328,0.0102
2022-2023,SAC,0.6908,0.3092,0.0226,0.0038,0.0012
2022-2023,DAL,0.8598,0.1402,0.0214,0.0014,0.0002
2022-2023,UTA,0.9548,0.0452,0.0084,0.0006,0.0004
2022-2023,NOP,0.9572,0.0428,0.0058,0.0004,0.0
2022-2023,PHX,0.9932,0.0068,0.001,0.0002,0.0
2022-2023,LAL,0.9944,0.0056,0.001,0.0004,0.0002
2022-2023,LAC,1.0,0.0,0.0,0.0,0.0
2022-2023,POR,1.0,0.0,0.0,0.0,0.0
2022-2023,SAS,1.0,0.0,0.0,0.0,0.0
2022-2023,OKC,1.0,0.0,0.0,0.0,0.0
2022-2023,HOU,1.0,0.0,0.0,0.0,0.0
2023-2024,BOS,0.045,0.955,0.6752,0.38,0.2704
2023-2024,MIL,0.1358,0.8642,0.4822,0.262,0.169
2023-2024,PHI,0.2576,0.7424,0.4068,0.223,0.1488
2023-2024,NYK,0.4966,0.5034,0.158,0.0496,0.0266
2023-2024,CLE,0.5034,0.4966,0.156,0.0542,0.0302
2023-2024,ORL,0.7424,0.2576,0.0844,0.023,0.0114
2023-2024,IND,0.838,0.162,0.0368,0.0082,0.0028
2023-2024,ATL,0.9858,0.0142,0.0006,0.0,0.0
2023-2024,MIA,0.9978,0.0022,0.0,0.0,0.0
2023-2024,BKN,0.9976,0.0024,0.0,0.0,0.0
2023-2024,TOR,1.0,0.0,0.0,0.0,0.0
2023-2024,DET,1.0,0.0,0.0,0.0,0.0
2023-2024,CHI,1.0,0.0,0.0,0.0,0.0
2023-2024,WAS,1.0,0.0,0.0,0.0,0.0
2023-2024,CHA,1.0,0.0,0.0,0.0,0.0
2023-2024,OKC,0.119,0.881,0.693,0.5224,0.237
2023-2024,DAL,0.3266,0.6734,0.3992,0.1588,0.0422
2023-2024,DEN,0.4534,0.5466,0.2702,0.0936,0.0214
2023-2024,NOP,0.4926,0.5074,0.1346,0.0598,0.0114
2023-2024,MIN,0.5074,0.4926,0.1294,0.0596,0.0102
2023-2024,PHX,0.5466,0.4534,0.1944,0.057,0.0102
2023-2024,LAC,0.7638,0.2362,0.1024,0.0296,0.0052
2023-2024,GSW,0.8166,0.1834,0.0704,0.0178,0.0032
2023-2024,SAC,0.9852,0.0148,0.0036,0.0002,0.0
2023-2024,LAL,0.9888,0.0112,0.0028,0.0012,0.0
2023-2024,HOU,1.0,0.0,0.0,0.0,0.0
2023-2024,SAS,1.0,0.0,0.0,0.0,0.0
2023-2024,UTA,1.0,0.0,0.0,0.0,0.0
2023-2024,POR,1.0,0.0,0.0,0.0,0.0
2024-2025,BOS,0.0376,0.9624,0.7296,0.5056,0.1036
2024-2025,IND,0.1066,0.8934,0.5672,0.2376,0.0268
2024-2025,MIL,0.2506,0.7494,0.3474,0.1302,0.0096
2024-2025,CLE,0.4558,0.5442,0.1468,0.065,0.0064
2024-2025,NYK,0.5442,0.4558,0.118,0.0484,0.004
2024-2025,ORL,0.7494,0.2506,0.0658,0.0108,0.0002
2024-2025,ATL,0.9056,0.0944,0.0192,0.0024,0.0
2024-2025,DET,0.9602,0.0398,0.0054,0.0,0.0
2024-2025,TOR,0.9952,0.0048,0.0004,0.0,0.0
2024-2025,PHI,0.9948,0.0052,0.0002,0.0,0.0
2024-2025,CHA,1.0,0.0,0.0,0.0,0.0
2024-2025,CHI,1.0,0.0,0.0,0.0,0.0
2024-2025,MIA,1.0,0.0,0.0,0.0,0.0
2024-2025,BKN,1.0,0.0,0.0,0.0,0.0
2024-2025,WAS,1.0,0.0,0.0,0.0,0.0
2024-2025,OKC,0.0188,0.9812,0.87,0.707,0.6462
2024-2025,GSW,0.1122,0.8878,0.5734,0.1674,0.1244
2024-2025,DEN,0.2718,0.7282,0.3326,0.0692,0.0466
2024-2025,DAL,0.3726,0.6274,0.0946,0.0382,0.0248
2024-2025,LAC,0.6274,0.3726,0.0322,0.0106,0.0044
2024-2025,MEM,0.7282,0.2718,0.0702,0.0056,0.002
2024-2025,MIN,0.9158,0.0842,0.0212,0.0018,0.001
2024-2025,HOU,0.958,0.042,0.0054,0.0002,0.0
2024-2025,LAL,0.996,0.004,0.0002,0.0,0.0
