season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating
2020-2021,ATL,9,0.22624845638658803,0.36976268204887036,0.5808310030508376,0.036369957888795254,0.5555555554320988,0.3127419560338322,0.19484872541236659,0.3868748346123313,0.5549969127635177,-0.030519991771686336,11337.0,121.97554232241599,109.57643555933643,12.399106763079558
2020-2021,BKN,7,0.1959448987649072,0.38316195240938583,0.6548665542148744,-2.220446049250313e-16,0.0,0.18255133673635868,0.20362212432697008,0.39092837330722785,0.5584924131179637,-0.12931844287228328,6129.0,116.16666666666667,116.27988782051281,-0.11322115384614051
2020-2021,BOS,6,0.13354890473592934,0.40493357832927035,0.73459152822077,2.220446049250313e-16,0.0,0.10698878343399487,0.20944779982743744,0.4188955996548749,0.5839085418464194,-0.07449410309702663,4636.0,121.12028836251288,120.50308959835222,0.617198764160662
2020-2021,CHA,8,0.168593394114291,0.3054455831998737,0.5310962598201528,0.024573859826514433,0.499999999875,0.21165267253737463,0.2091951669055908,0.3724144992832275,0.5356338316608642,0.18210416116989414,9766.0,110.70264317180617,114.56666666666665,-3.8640234948604757
2020-2021,CHA,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2645.0,99.4,111.7,-12.299999999999997
2020-2021,CHI,9,0.1574175239124354,0.28025401754098145,0.4921977107021977,0.09203724951808856,0.33333333325925923,0.23820539782684896,0.2132492113564669,0.37791798107255525,0.5389274447949528,-0.023334129353874893,7925.0,106.44810650887575,114.8133727810651,-8.365266272189345
2020-2021,CLE,9,0.18860711615954726,0.3184245389894073,0.5159854142636209,0.08333505433253555,0.33333333325925923,0.26971209917312067,0.20651020167472578,0.3794079490505956,0.5396862837598774,-0.025963443837719872,8479.0,105.78229583095376,111.8615648201028,-6.079268989149043
2020-2021,DAL,8,0.20053719669746572,0.3556678627524943,0.6263174996880249,0.05452231316685628,0.2499999999375,0.25461409395973156,0.18959731543624161,0.37906556530717606,0.5565307176045431,0.16665996835653624,7748.0,124.35091482649841,114.74712933753942,9.60378548895899
2020-2021,DAL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2925.0,122.9,111.7,11.200000000000003
2020-2021,DEN,9,0.20037892880457184,0.32653634516868313,0.5856051574896319,0.08021264760967214,0.11111111108641974,0.2820771132887627,0.20716182800622768,0.36963091858228775,0.5310925908966022,-0.03908987669071561,10919.0,124.49434129089299,116.29849690539346,8.195844385499527
2020-2021,DEN,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2440.0,125.6,115.9,9.699999999999989
2020-2021,DET,7,0.1984229834693985,0.38954818739817604,0.6734301263522444,0.0297055457963164,0.14285714281632653,0.17409565810888847,0.20176405733186328,0.40352811466372657,0.5619257625872841,-0.09762351897600123,5442.0,110.63674121405752,113.5379392971246,-2.9011980830670723
2020-2021,GSW,8,0.24320903789576706,0.38281312614012536,0.617484804821057,0.0048295192758937636,0.2499999999375,0.2708178955168581,0.21100407558354947,0.4036680251945165,0.5963319748054835,-0.11129765226827422,10796.0,110.10487269534678,108.5233538191396,1.5815188762071841
2020-2021,GSW,7,0.20000000000000007,0.45454545450413225,0.686776859441698,0.0811994262686976,0.4285714284489796,0.17392207792207795,0.2,0.4,0.6000000000000001,-0.06816205760779268,5500.0,107.46490909090909,109.10527272727272,-1.640363636363631
2020-2021,HOU,5,0.11016995603081485,0.5880733704668966,0.999999999849484,0.0,0.0,0.11855203619909496,0.24773755656108598,0.4935897435897436,0.6979638009049773,-0.01476657717890067,2652.0,114.19882659713168,117.30156453715776,-3.102737940026074
