season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating,salary_gini,salary_top1_share,salary_top2_share,salary_top3_share,salary_assortativity,n_salary_matched,n_players_thresholded
2020-2021,ATL,9,0.226248456386588,0.3697626820488703,0.5808310030508376,0.0363699578887952,0.5555555554320988,0.3127419560338322,0.1948487254123665,0.3868748346123313,0.5549969127635177,-0.0305199917716863,11337.0,121.975542322416,109.57643555933645,12.399106763079558,,,,,,,
2020-2021,BKN,7,0.1959448987649072,0.3831619524093858,0.6548665542148744,-2.220446049250313e-16,0.0,0.1825513367363586,0.20362212432697,0.3909283733072278,0.5584924131179637,-0.1293184428722832,6129.0,116.16666666666669,116.2798878205128,-0.1132211538461405,,,,,,,
2020-2021,BOS,6,0.1335489047359293,0.4049335783292703,0.73459152822077,2.220446049250313e-16,0.0,0.1069887834339948,0.2094477998274374,0.4188955996548749,0.5839085418464194,-0.0744941030970266,4636.0,121.12028836251288,120.50308959835222,0.617198764160662,,,,,,,
2020-2021,CHA,8,0.168593394114291,0.3054455831998737,0.5310962598201528,0.0245738598265144,0.499999999875,0.2116526725373746,0.2091951669055908,0.3724144992832275,0.5356338316608642,0.1821041611698941,9766.0,110.70264317180616,114.56666666666663,-3.864023494860476,,,,,,,
2020-2021,CHA,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2645.0,99.4,111.7,-12.299999999999995,,,,,,,
2020-2021,CHI,9,0.1574175239124354,0.2802540175409814,0.4921977107021977,0.0920372495180885,0.3333333332592592,0.2382053978268489,0.2132492113564669,0.3779179810725552,0.5389274447949528,-0.0233341293538748,7925.0,106.44810650887575,114.8133727810651,-8.365266272189345,,,,,,,
2020-2021,CLE,9,0.1886071161595472,0.3184245389894073,0.5159854142636209,0.0833350543325355,0.3333333332592592,0.2697120991731206,0.2065102016747257,0.3794079490505956,0.5396862837598774,-0.0259634438377198,8479.0,105.78229583095376,111.8615648201028,-6.079268989149043,,,,,,,
2020-2021,DAL,8,0.2005371966974657,0.3556678627524943,0.6263174996880249,0.0545223131668562,0.2499999999375,0.2546140939597315,0.1895973154362416,0.379065565307176,0.5565307176045431,0.1666599683565362,7748.0,124.3509148264984,114.74712933753942,9.60378548895899,0.35416810194986786,0.4854013578943124,0.6643881792930737,0.8015197705374202,-0.2483269825032848,5.0,5.0
2020-2021,DAL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2925.0,122.9,111.7,11.200000000000005,0.35416810194986786,0.4854013578943124,0.6643881792930737,0.8015197705374202,-0.2483269825032848,5.0,5.0
2020-2021,DEN,9,0.2003789288045718,0.3265363451686831,0.5856051574896319,0.0802126476096721,0.1111111110864197,0.2820771132887627,0.2071618280062276,0.3696309185822877,0.5310925908966022,-0.0390898766907156,10919.0,124.494341290893,116.29849690539346,8.195844385499527,0.2240459815481084,0.3667526734624599,0.7054854372596158,0.8758538523741412,0.03437989152122325,4.0,5.0
2020-2021,DEN,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2440.0,125.6,115.9,9.699999999999989,0.2240459815481084,0.3667526734624599,0.7054854372596158,0.8758538523741412,0.03437989152122325,4.0,5.0
2020-2021,DET,7,0.1984229834693985,0.389548187398176,0.6734301263522444,0.0297055457963164,0.1428571428163265,0.1740956581088884,0.2017640573318632,0.4035281146637265,0.5619257625872841,-0.0976235189760012,5442.0,110.63674121405752,113.5379392971246,-2.9011980830670723,,,,,,,
2020-2021,GSW,8,0.243209037895767,0.3828131261401253,0.617484804821057,0.0048295192758937,0.2499999999375,0.2708178955168581,0.2110040755835494,0.4036680251945165,0.5963319748054835,-0.1112976522682742,10796.0,110.10487269534678,108.5233538191396,1.581518876207184,0.42995339532788207,0.34587000343349855,0.5834556680877757,0.7623723304203136,-0.11867353170790941,7.0,7.0
2020-2021,GSW,7,0.2,0.4545454545041322,0.686776859441698,0.0811994262686976,0.4285714284489796,0.1739220779220779,0.2,0.4,0.6000000000000001,-0.0681620576077926,5500.0,107.46490909090907,109.10527272727272,-1.640363636363631,0.42995339532788207,0.34587000343349855,0.5834556680877757,0.7623723304203136,-0.11867353170790941,7.0,7.0
2020-2021,HOU,5,0.1101699560308148,0.5880733704668966,0.999999999849484,0.0,0.0,0.1185520361990949,0.2477375565610859,0.4935897435897436,0.6979638009049773,-0.0147665771789006,2652.0,114.19882659713168,117.30156453715776,-3.102737940026074,,,,,,,
2020-2021,IND,11,0.1838588774022538,0.3034589655971939,0.4950557383939592,0.1626128678809629,0.1285648692715818,0.3579635340929066,0.1882580418351204,0.3551590789242397,0.5209175602039022,0.2314118260893051,11378.0,109.34162046908315,112.01296375266526,-2.671343283582104,0.2388382155797501,0.2913288173050669,0.5699911642925222,0.8162836426905254,-0.23714893482279242,5.0,5.0
2020-2021,IND,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2470.0,113.6,108.2,5.399999999999992,0.2388382155797501,0.2913288173050669,0.5699911642925222,0.8162836426905254,-0.23714893482279242,5.0,5.0
2020-2021,LAC,8,0.1289647056690866,0.3512561698936715,0.6062789523422891,0.1686200999856782,0.2499999999375,0.1534319356691555,0.2063469270534176,0.3809592188397472,0.4955485353245261,-0.1150772261948941,6964.0,121.62477383437718,107.55066109951288,14.074112734864316,0.39463805141413816,0.37696598101800033,0.7425400442479547,0.8843215545611403,-0.24275132537310698,5.0,5.0
2020-2021,LAC,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2660.0,119.5,102.6,16.900000000000006,0.39463805141413816,0.37696598101800033,0.7425400442479547,0.8843215545611403,-0.24275132537310698,5.0,5.0
2020-2021,LAL,9,0.1573023719520291,0.289916725157718,0.5115418084679033,0.1445208188870082,0.1111111110864197,0.2244753202319856,0.1688571786206033,0.3251971460758543,0.4754036800600826,0.1805027245712978,7989.0,110.3075801749271,105.77434402332362,4.533236151603475,0.36639068795560165,0.3822594412620923,0.7013843042400107,0.8573307280273998,-0.20593285703963196,5.0,5.0
2020-2021,LAL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2920.0,117.1,104.3,12.799999999999995,0.36639068795560165,0.3822594412620923,0.7013843042400107,0.8573307280273998,-0.20593285703963196,5.0,5.0
2020-2021,MEM,7,0.2389569581912118,0.4845795335101749,0.7861297089449929,0.0195845705454928,0.4285714284489796,0.2481704111068479,0.2102854869193275,0.4072416194170894,0.6036009151497066,0.0132283080685797,10053.0,115.01750236518446,107.41589403973512,7.601608325449348,0.3101692858475708,0.30270216165667685,0.5327558045157512,0.7245700922999432,-0.18952001006783356,6.0,6.0
