feature,importance
team_net_rating,0.27133058984910835
edge_concentration_top5,0.08587105624142659
minutes_top2_share,0.08010973936899861
minutes_top3_share,0.06776406035665294
degree_centralization,0.05541838134430725
modularity_Q,0.053223593964334674
total_player_minutes,0.051028806584362124
minutes_top1_share,0.049931412894375846
minutes_gini,0.046639231824416996
community_size_cv,0.03703703703703703
n_players,0.036762688614540455
edge_concentration_top10,0.016186556927297646
minutes_assortativity,0.009327846364883381
