feature,importance
team_net_rating,0.24005486968449935
n_players,0.06776406035665297
salary_top1_share,0.06447187928669415
salary_top3_share,0.04718792866941021
modularity_Q,0.04334705075445821
edge_concentration_top5,0.0397805212620028
salary_gini,0.03347050754458167
degree_centralization,0.03292181069958854
salary_top2_share,0.029080932784636526
total_player_minutes,0.021124828532235976
community_size_cv,0.01673525377229086
salary_assortativity,0.006858710562414309
edge_concentration_top10,0.0002743484224966064
