team,season,playoff_round
ATL,2020-2021,3
BKN,2020-2021,2
BOS,2020-2021,1
CHA,2020-2021,0
CHI,2020-2021,0
CLE,2020-2021,0
DAL,2020-2021,1
DEN,2020-2021,2
DET,2020-2021,0
GSW,2020-2021,0
HOU,2020-2021,0
IND,2020-2021,0
LAC,2020-2021,3
LAL,2020-2021,1
MEM,2020-2021,1
MIA,2020-2021,1
MIL,2020-2021,4
MIN,2020-2021,0
NOP,2020-2021,0
NYK,2020-2021,1
OKC,2020-2021,0
ORL,2020-2021,0
PHI,2020-2021,2
PHX,2020-2021,3
POR,2020-2021,1
SAC,2020-2021,0
SAS,2020-2021,0
TOR,2020-2021,0
UTA,2020-2021,2
WAS,2020-2021,1
ATL,2021-2022,1
BKN,2021-2022,1
BOS,2021-2022,3
CHA,2021-2022,0
CHI,2021-2022,1
CLE,2021-2022,0
DAL,2021-2022,3
DEN,2021-2022,1
DET,2021-2022,0
GSW,2021-2022,4
HOU,2021-2022,0
IND,2021-2022,0
LAC,2021-2022,0
LAL,2021-2022,0
MEM,2021-2022,2
MIA,2021-2022,3
MIL,2021-2022,2
MIN,2021-2022,1
NOP,2021-2022,1
NYK,2021-2022,0
OKC,2021-2022,0
ORL,2021-2022,0
PHI,2021-2022,2
PHX,2021-2022,2
POR,2021-2022,0
SAC,2021-2022,0
SAS,2021-2022,0
TOR,2021-2022,1
UTA,2021-2022,1
WAS,2021-2022,0
ATL,2022-2023,1
BKN,2022-2023,1
BOS,2022-2023,3
CHA,2022-2023,0
CHI,2022-2023,0
CLE,2022-2023,1
DAL,2022-2023,0
DEN,2022-2023,4
DET,2022-2023,0
GSW,2022-2023,2
HOU,2022-2023,0
IND,2022-2023,0
LAC,2022-2023,1
LAL,2022-2023,3
MEM,2022-2023,1
MIA,2022-2023,3
MIL,2022-2023,1
MIN,2022-2023,1
NOP,2022-2023,0
NYK,2022-2023,2
OKC,2022-2023,0
ORL,2022-2023,0
PHI,2022-2023,2
PHX,2022-2023,2
POR,2022-2023,0
SAC,2022-2023,1
SAS,2022-2023,0
TOR,2022-2023,0
UTA,2022-2023,0
WAS,2022-2023,0
ATL,2023-2024,0
BKN,2023-2024,0
BOS,2023-2024,4
CHA,2023-2024,0
CHI,2023-2024,0
CLE,2023-2024,2
DAL,2023-2024,3
DEN,2023-2024,2
DET,2023-2024,0
GSW,2023-2024,0
HOU,2023-2024,0
IND,2023-2024,3
LAC,2023-2024,1
LAL,2023-2024,1
MIA,2023-2024,1
MIL,2023-2024,1
MIN,2023-2024,3
NOP,2023-2024,1
NYK,2023-2024,2
OKC,2023-2024,2
ORL,2023-2024,1
PHI,2023-2024,1
PHX,2023-2024,1
POR,2023-2024,0
SAC,2023-2024,0
SAS,2023-2024,0
TOR,2023-2024,0
UTA,2023-2024,0
WAS,2023-2024,0
ATL,2024-2025,0
BKN,2024-2025,0
BOS,2024-2025,2
CHA,2024-2025,0
CHI,2024-2025,0
CLE,2024-2025,2
DAL,2024-2025,0
DEN,2024-2025,2
DET,2024-2025,1
GSW,2024-2025,2
HOU,2024-2025,1
IND,2024-2025,3
LAC,2024-2025,1
LAL,2024-2025,1
MEM,2024-2025,1
MIA,2024-2025,1
MIL,2024-2025,1
MIN,2024-2025,3
NOP,2024-2025,0
NYK,2024-2025,3
OKC,2024-2025,4
ORL,2024-2025,1
PHI,2024-2025,0
PHX,2024-2025,0
POR,2024-2025,0
SAC,2024-2025,0
SAS,2024-2025,0
TOR,2024-2025,0
UTA,2024-2025,0
WAS,2024-2025,0
