season,team,nr_hat_intact,drop_star,drop_role,drop_connector,RRS
2020-2021,ATL,2.947139898250191,0.5649941707797863,-1.2414995680329706,-0.2747816384273225,1.1075578803937949
2020-2021,BKN,0.6791415895846868,-1.3806751627727696,-1.4772304182651705,-1.7040485443708202,3.2357864868472537
2020-2021,BOS,1.6778367014635651,-1.7857113112709824,-2.6754272545646907,-2.718926621062685,2.4256032526647706
2020-2021,CHA,1.386387710007166,-2.0334161756970754,-1.2825620907659525,0.4303332420902044,1.6933041628183179
2020-2021,CHA,3.808670494985102,0.7960638226281262,0.7960638226281262,0.7960638226281262,0.791041292501272
2020-2021,CHI,-0.763139733853949,-2.496268914554068,-0.4721887794122175,-0.6385130768980103,2.573434199297769
2020-2021,CLE,0.057134338784510685,-1.053552875556505,-1.0999547097341522,-1.7869415061927918,23.593927409465046
2020-2021,DAL,1.562357504791601,-0.5968259371474973,-2.2771294434619773,-1.528024123010634,1.9385738685549732
2020-2021,DAL,3.955179350714814,0.8253655937740683,0.8253655937740683,0.8253655937740683,0.7913730595593602
2020-2021,DEN,1.1877149917489214,-2.1842932146588034,-2.0938512359023442,-1.4700860889100205,2.611889191093083
2020-2021,DEN,3.70140508275442,0.7746107401819899,0.7746107401819899,0.7746107401819899,0.7907817424435591
2020-2021,DET,1.5036659452740113,-2.0797956305203775,-0.8105369371124032,-1.7862651583801652,2.03602126011239
2020-2021,GSW,2.1889750257663696,-2.1712018693813038,-0.5024000437881737,-1.9225570760958188,1.6995755560662762
2020-2021,GSW,3.0109499001922275,-2.825275359973329,-1.093916487286016,-1.0748745700697668,1.5526947196798087
2020-2021,HOU,3.5292884165723337,0.963022598749848,0.35544148450632473,0.3623319075672957,0.8412975756755681
2020-2021,IND,-0.10548157826848525,-0.6847752372531817,-1.4336733862228397,-0.9863708651532397,10.719426086393689
2020-2021,IND,3.717102460154032,0.777750215661912,0.777750215661912,0.777750215661912,0.7908206608083383
2020-2021,LAC,2.352672518407953,-2.5923439416943515,-0.31244302260479007,-1.0711109925527458,1.5630771947182671
2020-2021,LAC,3.8165191836849077,0.7976335603680873,0.7976335603680873,0.7976335603680873,0.7910597112970729
2020-2021,LAL,0.5596126835324289,-0.866513871214146,-0.40768125233039276,-1.3714137910750717,2.573046176283175
2020-2021,LAL,3.952563121148212,0.8248423478607485,0.8248423478607485,0.8248423478607485,0.7913673507706147
2020-2021,MEM,5.326373174815345,-0.30917310335172576,-0.0751558785328772,-0.08212989023712947,1.029186296060935
2020-2021,MEM,4.714452878868507,1.6949038560281071,1.6949038560281071,-1.7880529511191936,0.886772645732855
2020-2021,MIA,2.271514062873633,-1.344008729235655,-1.5145906416192014,-0.1837218392336002,1.4462489744715286
2020-2021,MIL,6.626401971043549,0.5732581820812523,0.05825429481976663,-0.1910147144101142,0.9778446232568193
2020-2021,MIL,5.4098029897455255,1.1162903215802107,1.1162903215802107,1.1162903215802107,0.7936922997019504
2020-2021,MIN,1.1076655359624006,-0.6874769485714687,-0.8309718618393385,-0.7371387317335278,1.6781689244046372
2020-2021,NOP,2.430080358328209,0.0674534154376234,-0.7523879978090067,-0.698280044336026,1.1896570554141905
2020-2021,NOP,5.721134308171164,1.1785565852653388,1.1785565852653388,1.1785565852653388,0.7940354906416005
2020-2021,NYK,5.634451174643992,0.38313683577919555,-0.4919204298930202,-1.125304194338863,1.0729955035369254
2020-2021,NYK,5.5827099123963615,1.8842131772047996,1.8842131772047996,-1.8830474947032672,0.8874476593945414
