season,team,salary_gini,salary_top1_share,salary_top2_share,salary_top3_share,salary_assortativity,n_salary_matched,n_players_thresholded
2020-2021,DAL,0.35416810194986786,0.4854013578943124,0.6643881792930737,0.8015197705374202,-0.2483269825032848,5,5
2020-2021,DEN,0.2240459815481084,0.3667526734624599,0.7054854372596158,0.8758538523741412,0.03437989152122325,4,5
2020-2021,GSW,0.42995339532788207,0.34587000343349855,0.5834556680877757,0.7623723304203136,-0.11867353170790941,7,7
2020-2021,IND,0.2388382155797501,0.2913288173050669,0.5699911642925222,0.8162836426905254,-0.23714893482279242,5,5
2020-2021,LAC,0.39463805141413816,0.37696598101800033,0.7425400442479547,0.8843215545611403,-0.24275132537310698,5,5
2020-2021,LAL,0.36639068795560165,0.3822594412620923,0.7013843042400107,0.8573307280273998,-0.20593285703963196,5,5
2020-2021,MEM,0.3101692858475708,0.30270216165667685,0.5327558045157512,0.7245700922999432,-0.18952001006783356,6,6
2020-2021,MIL,0.292943964582863,0.3234094822314987,0.5927704597981494,0.8459669242450505,0.12950473458137815,5,5
2020-2021,NOP,0.23147164431570602,0.31149563582148104,0.5987002457223065,0.7763281655345269,-0.19770993105756737,5,5
2020-2021,NYK,0.37719775741951106,0.4318754125809786,0.6199756637062483,0.7517547909207722,-0.23847786470214954,6,6
2020-2021,PHI,0.2319970730669688,0.2920172045705588,0.5517410357788972,0.8028197295534413,-0.26257219015433475,5,5
2020-2021,POR,0.26391576559233343,0.29799557422160994,0.57457635584254,0.6960180855796282,0.14863249944072507,6,8
2020-2021,SAC,0.3589891446552282,0.33922610006838955,0.6443134134048906,0.7674095624445537,-0.005321780809571184,6,6
2020-2021,SAS,0.4464082272562969,0.4980948751647248,0.7546121714709854,0.9000878238658803,-0.03476041931040776,5,5
2020-2021,UTA,0.3828443027198196,0.27213368937512555,0.4892252617588924,0.6285173641672095,-0.007355954499621067,9,9
2021-2022,BOS,0.2547082917740749,0.28843333035562685,0.5655406680265589,0.820380450311329,0.288559869263908,5,5
2021-2022,DAL,0.270333840694941,0.30279710038427743,0.5808423474348197,0.841441677249643,-0.1909313683261525,5,5
2021-2022,DEN,0.3140231997210304,0.40201583572577315,0.6182276670683036,0.8241080454955448,-0.19052028945474087,5,5
2021-2022,DET,0.3668930277390879,0.4079087703699474,0.6128597560602569,0.7619317776277768,-0.2517220611043872,6,6
2021-2022,GSW,0.4180738414017925,0.42106314268717604,0.7115095521741227,0.9324914087640356,-0.27896183346235875,5,5
2021-2022,HOU,0.4100269437789654,0.41239303823618156,0.7217456168003981,0.9252890452723982,0.004754607088494597,5,5
2021-2022,MIA,0.24836720774211135,0.31686583841526156,0.5641172123302005,0.8015200572340142,-0.1935592177451073,5,5
2021-2022,MIL,0.35890779126072336,0.34701677971393313,0.6601214962722283,0.9258930086080513,-0.15412765062388747,5,5
2021-2022,MIN,0.3327884182220819,0.3507746953338474,0.6834058719435303,0.8421213529321904,-0.2442006887165852,5,5
2021-2022,NOP,0.3841320115795883,0.5246386719793191,0.7738918027766799,0.9697335484031777,-0.18873141523269069,4,5
2021-2022,NYK,0.2954611045696021,0.3016735844888828,0.5628628329520311,0.7081537067745557,-0.10495028311169524,6,6
2021-2022,OKC,0.2678702008578229,0.33679818875918616,0.645897257541442,0.7872445054170908,-0.16926549983406236,5,5
2021-2022,ORL,0.1374575361212317,0.2562293981613213,0.4904974381434073,0.713691718477674,0.3338915735010533,5,5
2021-2022,PHI,0.3974170807861569,0.37766231543606427,0.6844566308523552,0.9536085031133752,-0.05598121850837672,5,5
2021-2022,POR,0.2662864276685708,0.7662864276685708,1.0,1.0,,2,5
2021-2022,SAS,0.2797874464124408,0.3850039676004252,0.7281140672645516,0.9464568579599048,0.48152557734383655,4,5
2021-2022,TOR,0.2395826802747763,0.35861490364226817,0.5724100190661497,0.747039310621816,-0.3208356868403947,5,5
2021-2022,UTA,0.2243972151920664,0.3162838859855516,0.5677686064599291,0.7556875179820501,-0.2838872631664031,5,5
2021-2022,WAS,0.3894001753136771,0.5479539482891108,0.759810594676478,0.9710358076617658,-0.43195936248571376,4,5
