season,team,assort_salary_obs,assort_mu_null,assort_sd_null,assort_z,p_left,salary_gini,top1_share,top2_share,top3_share,n_nodes,n_edges
2020-2021,PHI,0.3841017927850704,-0.06685951071126288,0.14945045397026277,3.017463590883868,0.9920318725099602,0.5184168540488953,0.26336300597082163,0.4976014269908363,0.7240430149956756,10,38
2020-2021,NOP,0.33307594955948255,-0.05419280748622028,0.1415564124728661,2.7357909845301815,0.9840637450199203,0.5075971793349988,0.26400315989872625,0.5074188480554401,0.6579645595322423,11,42
2020-2021,UTA,-0.023712162661269253,-0.07072736001839348,0.10217070756843143,0.4601631766681718,0.7250996015936255,0.4286528439150558,0.2689141686603355,0.4834374048123746,0.62108158994099,10,37
2020-2021,MIL,0.04050646081989761,-0.10185339335987963,0.11955946288612022,1.1907033600123669,0.8804780876494024,0.42293317066613134,0.3019161881263041,0.5533758516332805,0.7897452705674677,7,21
2020-2021,NYK,-0.09936524526553206,-0.07364617412064738,0.11812585656647615,-0.21772600760284094,0.49800796812749004,0.3716094959781211,0.304868040933293,0.437651138532925,0.561581223096706,10,38
2020-2021,MEM,-0.08472808678989677,-0.12102283912292963,0.12102223681773915,0.29990151634441503,0.7330677290836654,0.34950922231261544,0.2875955440329868,0.5061681574980568,0.688409784537253,7,19
2020-2021,SAC,-0.012545202773158654,-0.1035621771839949,0.134805142124968,0.6751743514832769,0.8247011952191236,0.3589891446552282,0.3392261000683895,0.6443134134048905,0.7674095624445536,6,15
2020-2021,POR,-0.006290522879484946,-0.10170853144842108,0.13882198493014694,0.6873407595846507,0.7768924302788844,0.35062884810403794,0.29351382847350077,0.5659349350882629,0.685550225096124,7,17
2020-2021,SAS,-0.17158505336887966,-0.08336327788007303,0.14122167256167195,-0.6247042248439587,0.3107569721115538,0.3904382057889187,0.25827859766512773,0.4142328301722187,0.5492379866708944,10,34
2020-2021,DAL,-0.13059590002021876,-0.09643689883485095,0.10883218798254557,-0.3138685513778902,0.4900398406374502,0.4243510021706679,0.34486651738967977,0.5669340679862351,0.6941000941016365,8,25
2020-2021,LAL,-0.0016468292117204513,-0.09871574218429086,0.12179520809031423,0.7969846638021371,0.8127490039840638,0.5050857510333993,0.32503368615293354,0.5963842909000475,0.7289849162727744,9,31
2020-2021,GSW,-0.1505052876272744,-0.08102282096845712,0.12382880632810316,-0.5611171480948703,0.350597609561753,0.49725504691002287,0.34487623725694394,0.5817792622049042,0.7601818547260012,8,24
2020-2021,LAC,-0.12947010295809117,-0.06242736469432697,0.17309778822976502,-0.3873113512852839,0.44223107569721115,0.4554910705618872,0.3015883508246589,0.5940626970138099,0.7206834220571279,8,23
2020-2021,IND,0.056183991779832645,-0.07760050520812896,0.11369394509437991,1.1767073160923747,0.8565737051792829,0.41729573570764844,0.19396811632689606,0.3795028362917532,0.5434855433313996,11,44
2020-2021,DEN,-0.19138786465409005,-0.07667572017697692,0.13608750368521635,-0.84292930188839,0.21912350597609562,0.423978741997735,0.2759359971052043,0.5307904799591299,0.7001924835534328,8,23
2020-2021,MIA,-0.28236373431628675,-0.11083048155127637,0.171180722633041,-1.0020594032233707,0.06772908366533864,0.5135010758668602,0.4618081263540111,0.6633003671430417,0.835240412616348,7,18
2020-2021,ATL,0.016635124956116926,-0.08893589903828733,0.11907278583491249,0.8866091714757758,0.8286852589641435,0.3745341316767793,0.26203864874995847,0.49496189208325486,0.6722539081135566,8,24
2020-2021,OKC,0.15719076152293968,-0.08689058300993889,0.13532867228488193,1.8036188518798155,0.9163346613545816,0.582121915447087,0.6352318233495603,0.7308935780649786,0.7993794223973316,8,23
2020-2021,MIN,-0.1454769932553509,-0.06252270252700708,0.11320489629700335,-0.7327800602432044,0.2350597609561753,0.4710060074557977,0.2719908840530749,0.5364264657713422,0.6933382484257065,9,33
2020-2021,DET,0.4091364640127182,-0.12658248825881604,0.1773126687488116,3.021323609033575,0.9840637450199203,0.4847428326002386,0.4684473274287527,0.741596003844901,0.8563041094264856,6,13
2020-2021,WAS,-0.11819300359150162,-0.06423003559059647,0.12340447673459372,-0.4372853354174778,0.38645418326693226,0.5903122829667571,0.3959352709214999,0.6711811091644373,0.8147787728649123,9,31
2020-2021,CHI,-0.13754142995565147,-0.07318582796760405,0.15089871978933198,-0.42648209393620806,0.38247011952191234,0.3241413426183062,0.27901621629371426,0.48827837851399997,0.6336350958100907,8,24
2020-2021,CLE,-0.08042211909161619,-0.08619500987951732,0.10797683379046667,0.05346416064675187,0.6215139442231076,0.44522755911425793,0.30257762507413855,0.5732016380604184,0.6865447799988864,9,31
2020-2021,TOR,-0.13758280962406175,-0.1257583951322529,0.14892002866757276,-0.07940110270999168,0.6533864541832669,0.367311741779214,0.3065686818350241,0.6125434716190576,0.8257226284358022,6,14
2020-2021,BOS,-0.22293313831310382,-0.13585831678079738,0.18105426257535995,-0.48093218184279657,0.4302788844621514,0.2821671596281755,0.38022344806266106,0.6394357911422827,0.7881496090806903,5,10
2020-2021,HOU,-0.13384303478889226,-0.13480942437517057,0.1638494744131451,0.005898032872791354,0.6294820717131474,0.5176376747753746,0.5872219431807473,0.7724897081521922,0.9549644092708739,5,10
2020-2021,ORL,-0.20994249410455307,-0.07378792245543374,0.30678588584610206,-0.44380976417350804,0.4820717131474104,0.4517609427257092,0.582861504855822,0.7486131090036944,0.8489978319333416,5,8
2021-2022,DEN,-0.11948517139932839,-0.09546738158598514,0.1337181067294737,-0.17961509028791334,0.5338645418326693,0.392429719602959,0.3325246915778156,0.511362852027027,0.6816554207634018,8,25
2021-2022,UTA,-0.10343435636469073,-0.09005627159946332,0.13687884278970686,-0.09773668810000653,0.5418326693227091,0.36270112250797615,0.2668302156247007,0.4789931653159194,0.6375293598651959,8,23
2021-2022,BOS,-0.07218926827928841,-0.10690574956742967,0.1362907150117897,0.25472374464495356,0.6972111553784861,0.3472059153041151,0.2808867199221916,0.5507437820335325,0.7989159002259683,6,15
2021-2022,MIN,-0.20689511028850344,-0.10853211237584949,0.10077704736612882,-0.9760456421718282,0.09561752988047809,0.3881502711639188,0.29667112624122877,0.5779971942286009,0.7128976437841612,7,21
2021-2022,ORL,-0.03718177678598091,-0.09311827890702762,0.10648109066575143,0.5253186436325461,0.7529880478087649,0.36069214634467944,0.300760418407948,0.48431080325290043,0.5954504438042729,9,32
2021-2022,NYK,0.10421001666605878,-0.088353841407587,0.12834031217287792,1.5004160019048185,0.900398406374502,0.34713573400604625,0.22848002601072004,0.42629822870052075,0.5363379018337645,10,35
2021-2022,MIA,0.17523423271156827,-0.08429889026819644,0.10995530813586608,2.360351013332372,0.9601593625498008,0.4996300069299386,0.29187457259101796,0.519625186052191,0.7383040257615806,9,34
2021-2022,GSW,-0.22513433628518525,-0.08729872802888099,0.12701491638456774,-1.0851922922105803,0.08366533864541832,0.43776080253833083,0.30705400235541264,0.561791573605881,0.773595275857216,7,21
2021-2022,MIL,-0.16220926052028167,-0.1018645226327902,0.14446953820138156,-0.41769869717015823,0.4940239043824701,0.4137517426942363,0.3314267303641053,0.6304649283326318,0.8842964099975764,6,15
2021-2022,HOU,0.031193547327380944,-0.08435567673815285,0.11868484283372026,0.9735802930406242,0.852589641434263,0.49226324070806937,0.3578565851887103,0.6262991802863305,0.8029252372200965,8,27
2021-2022,DAL,0.02375096784347076,-0.11776725747537899,0.11184447641027224,1.2653126006842494,0.8764940239043825,0.3176491149614503,0.3196850911866574,0.4859300510616834,0.6385854790056665,7,20
2021-2022,TOR,-0.18038102344714088,-0.09482343711355339,0.1137579332801643,-0.7521021511781101,0.20318725099601595,0.3636845168652335,0.3052726763007928,0.4872668053863768,0.6359208369178939,8,25
2021-2022,NOP,-0.07630870304767191,-0.09887275685601009,0.1752431063144369,0.1287585816234718,0.6215139442231076,0.4265876655366178,0.3172382547822507,0.6201236057728194,0.7640228759547795,7,19
2021-2022,PHI,-0.1829326770468885,-0.10732452542092033,0.13057662756905336,-0.5790328103395381,0.3705179282868526,0.47284228335917994,0.3357927609121295,0.6085743067405311,0.8478866410591966,7,19
2021-2022,SAS,0.11668270067064171,-0.09035589144890785,0.14016510795451256,1.4771050737301845,0.9163346613545816,0.34678943600952017,0.29274336879598944,0.55363212552654,0.7196522434459811,7,19
